Häuser Karl;Produktivitätsentwicklung staatlicher Leistungen;3.428.05760.0;286;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;BA 130;Berlin;Duncker & Humblot;1985;0;YL1;YL2;YL7;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Allgemeines-	Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Daviter J./Könke J./Graf Schwerin O.;Steuernorm und Steuerwirklichkeit-Band I Steuertechnik und Steuerpraxis in Frankreich-Grossbritannien-Italien und Deutschland;0;305;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;CA 144;Köln und Opladen;Westdeutscher Verlag;1969;0;YL7;YL8;YL9;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre"
Wissenschaftlicher Beirat der Gesellschaft für öffentliche Wirtschaft und Gemeinwirtschaft;Öffentliche Unternehmen im Spannungsfeld der Privatisierungsdiskussion;0;70ff;Druckerzeugnis;38097;in: Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen;Separata;EG Sep. 06;0;0;1985;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Vito Francesco/Giarda Diono Piero/u.a.;Problemi economici e finanziari delle regioni;0;140;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;AJ 146;Milano;Società Editrice 'Vita e Pensiero';1966;0;YY;0;0;Wirtschaftswissenschaften;Regionale Wirtschaftspolitik. Stadtplanung;0
Schröck Jörg;Steuersystem und Formwechsel;3-428-09343-7;256;Druckerzeugnis;37960;Eine Systemanalyse des ertragsteuerneutralen Wechsels zwischen Kapital- und Personenhandelsgesellschaftsformen auf der Grundlage des Übertragungsmodells nach §§ 14, 25 UmwStG;Haupt-Bibliothek;KB 145;Berlin;Duncker & Humblot GmbH;1998;0;KB;0;0;Ausländisches Steuerrecht;Deutschland;0
Hotz Beat;Politik zwischen Staat und Wirtschaft;3.7253.0099.2;424;Druckerzeugnis;37960.35486;Verbandsmässige Bearbeitung wirtschaftspolitischer Probleme und die daraus resultierenden Konsequenzen für die Aktivitäten des Staates im Falle der Schweiz;Haupt-Bibliothek;AK 1039;Diessenhofen;Rüegger Verlag;1979;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Mohr/Otto;Organisationsveränderung in der Finanzverwaltung aufgrund der Steuerreform-2. Teil und des Beitrittes zur Europäischen Gemeinschaft;0;45;Druckerzeugnis;37960.35486;0;Separata;EE Sep. 14;Wien;Institut für Finanzwissenschaft und Steuerrecht;1995;0;YL7;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Winfrey John C.;Public Finance Public Choices and the Public Economy;0.06.047156.5;590;Druckerzeugnis;38236;0;Haupt-Bibliothek;AK 0413;New York, Evanston, San Francisco, London;Harper & Row, Publishers;1973;0;YR;0;0;Wirtschaftswissenschaften;Gewerbepolitik. Einzelne Wirtschaftszweige;0
OECD;Public Management Developments - Survey 1993;92-64-13966-4;196;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;EH 120 2;Paris;OECD;1993;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Brodtrick Otto/Paton Richard;Constraints to productive management in the public service;0;0;Druckerzeugnis;37960.35486;In: Auditor General of Canada- Brodtrick-Otto: Revitalizing Public Services Why do serious managerial weaknesses persist, in spite of conscientious efforts to overcome them?;Haupt-Bibliothek;-;Ottawa;Auditor General;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Schiller Christian;Staatsausgaben und crowding-out-Effekte;3.8204.7503.6;186;Druckerzeugnis;38360;Zur Effizienz einer Finanzpolitik keynesianischer Provenienz;Haupt-Bibliothek;BG 133;Frankfurt am Main, Bern;Verlag Peter Lang;1983;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
OCDE;Politique Budgetaire et Equilibre Economique;0;220;Druckerzeugnis;37960.35486;Leçons du Passé. Problèmes et Perspectives;Haupt-Bibliothek;AG 164;0;OECD;1968;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Lampert Michael;Performance Monitoring and Output-Based Measures of Efficiency;0;23;Druckerzeugnis;38097;0;Separata;VE Sep. 07;Sydney;Government Printing Service;1992;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Strebel Heinz;Betriebswirtschaftslehre und öffentliche Verwaltung;3-7890-0212-7;45901;Druckerzeugnis;37960.35486;In: Kiefer-Dieter- Strebel-Heinz- Wolff-Reinhard: Oekonomische Fragen der öffentlichen Verwaltung II;Haupt-Bibliothek;-;Baden-Baden;Nomos;-;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Jäggi Hanspeter;Staatsschuld und Schuldenpolitik des Kantons Bern;0;125;Druckerzeugnis;37960.35486;Dissertation zur Erlangung der Würde eines Doktors der Wirtschafts- und Sozialwissenschaften, vorgelegt der rechts-, wirtschafts- und sozialwissenschaftlichen Fakultät der Uni Freiburg in der Schweiz;Haupt-Bibliothek;DD 104;Aarau;Buchdruckerei Keller AG;1967;0;YL2;YL7;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder"
Crouch Colin;The Drive for Equality: Experience of Incomes Policy in Britain;0.669.99382.4;215-241;Druckerzeugnis;37960.35486;In: Lindenberg-Leon N. (Hrsg.): Stress and Contradiction in Modern Capitalism;Haupt-Bibliothek;-;London;Lexington Books;-;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Wacker Wilhelm H.;Steuerlexikon;3 8006 0472 8;486;Druckerzeugnis;37960;0;Haupt-Bibliothek;JA 124;München;Franz Vahlen;1975;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Henry-Meininger Marie-Christine/Siedentopf Heinrich/Delpérée Francis/u.a.;Les fonctions publiques de l'europe des douze;0;379-574;Druckerzeugnis;37960.35486;Revue française d'Administration Publique, Nr. 55, 1990;Haupt-Bibliothek;EA 235;Paris;Institut international d'administration publique;1990;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Hürlimann H.;Wirtschaft ohne Staat?;-;43712;Druckerzeugnis;37960.35486;In: Stiftung Dialog (Hrsg.): Politik und Wirtschaft;Separata;AC Sep. 05;Rheineck;Dialog;-;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Diethelm Kurt;Möglichkeiten einer staatlichen Eigentumssteuerungspolitik unter Berücksichtigung schweizerischer Verhältnisse;0;177;Druckerzeugnis;38331;Dissertation der Hochschule St. Gallen, Nr. 276;Haupt-Bibliothek;AH 108;Winterthur;Hans Schellenberg;1968;0;YV;0;0;Wirtschaftswissenschaften;Arbeitnehmerfragen (Labor Economics);0
Kubaile Heiko/Suter Roland/Jakob Walter;Der Steuer- und Investitionsstandort Schweiz;978-3-482-54822-2;775;Druckerzeugnis;39910.50347;2. A.;Haupt-Bibliothek;JA 177 2;Herne/Berlin;Verlag neue Wirtschaftsbriefe (nwb);2009;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Kovacs Yvette;No Taxation without Representation Die Gesetzesdelegation im Steuerrecht unter besonderer Berücksichtigung des zürcherischen Steuergesetzes;3 7255 2914 0;211;Druckerzeugnis;37960;0;Haupt-Bibliothek;JD 213;Zürich;Schulthess Polygraphischer Verlag;1991;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
Fischer Lutz/Strunk Günther;Steuerliche Aspekte des Electronic Commerce;3-504-61515-X;179;Druckerzeugnis;37960.35486;Forum der Internationalen Besteuerung, Bd. 15;Haupt-Bibliothek;LD 167;Köln;Dr. Otto Schmidt (KG);1998;0;LD;0;0;Interkantonales/Internationales Steuerrecht;Deutschland;0
Davis Morton D.;Spieltheorie für Nichtmathematiker;3.486.43702.X;205;Druckerzeugnis;38314;Mit einem Vorwort von Oskar Morgenstern, Scientia Nova;Haupt-Bibliothek;AK 1207;München;R. Oldenbourg Verlag;1993;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Gericke Dieter;Private Equity II;978-3-7255-6668-6;248;Druckerzeugnis;41367.70556;Rechtliche, steuerliche und regulatorische Aspekte von Buy-out bis Exit. Europa-Institut an der Uni Zürich, Bd. 132;HB Steuerrecht;PE 0571;Zürich / Basel / Genf;Schulthess Juristische Medien AG;2012;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Koller Thomas;Stiftungen und Steuern;-;99;Druckerzeugnis;37960.35486;Sonderdruck aus: Europa Institut Zürich Die Stiftung in der juristischen und wirtschaftlichen Praxis- hrsg. von Hans Michael Riemer;Haupt-Bibliothek;PN 415;Zürich;Schulthess;2001;0;PN;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Besondere Arten von juristischen Personen;0
Winterstein Helmut;Leitbilder und Zielsysteme der Sozialpolitik in der Bundesrepublik Deutschland;3.428.02934.8;77-99;Druckerzeugnis;37960.35486;In: Sanmann-Horst (Hrsg.): Leitbilder und Zielsysteme der Sozialpolitik;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Schmidt Kurt;Öffentliche Finanzen und Umweltpolitik II;3.428.06621.9;103;Druckerzeugnis;38360;0;Haupt-Bibliothek;AC 289;Berlin;Duncker & Humblot;1989;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Eckhardt Walter/Hillebrecht Arno;Problematik rückwirkender Steuergesetze;-;100;Druckerzeugnis;37960.35486;Unternehmen und Steuer (Schriftenreihe zur betrieblichen Steuerlehre), 3. Folge, Heft 3;Haupt-Bibliothek;JD 109;Köln/Berlin/München/Bonn;Carl Heymanns Verlag KG;1960;0;JD;0;0;Allgemeine Steuerrechtsliteratur;Grundsätze der Rechtsanwendung;0
IFSt;IFSt-Schrift 455;3-89737-150-2;98;Druckerzeugnis;39959.71458;Markus Albert, Zur Abwehr von Steuerumgehungen aus deutscher und europäischer Sicht;Haupt-Bibliothek;Z 153 455;Bonn;Institut 'Finanzen und Steuern';2009;0;Z;0;0;Zeitschriften;0;0
Kirsch G.;Die Cost-Benefit-Analyse: Zur Kritik ihrer theoretischen Grundlagen;3.437.40020.7;69-80;Druckerzeugnis;37960.35486;In: Wittmann-Walter- Kirsch-Guy u. a. (Hrsg.): Nationale Ziele und Soziale Indikatoren;Haupt-Bibliothek;-;Stuttgart;Gustav Fischer Verlag;-;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
-;Freiburger Zeitschrift für Rechtsprechung (FZR) 2007;-;472;Druckerzeugnis;39987.43472;Revue Fribourgeoise de Jurisprudence (RFJ);HB Steuerrecht;Z 132;Freiburg;Gerichtsschreiberei des Kantonsgerichts;2007;0;Z;0;0;Zeitschriften;0;0
Management Information Service;Performance Measurement in Law Enforcement;0;17;Druckerzeugnis;38360;0;Separata;EA Sep. 22;Washington;Management Information Service;1995;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Lucas J. R.;On Justice;0.19.824598.X;171;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;WD 171;Oxford;Clarendon Press;1980;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Gassner Wolfgang/Lang Michael/Lechner Eduard;Personengesellschaften im Recht der Doppelbesteuerungsabkommen;3-7073-0115-X;272;Druckerzeugnis;38023;Die Auswirkungen des OECD-Reports auf die Abkommenspraxis;Haupt-Bibliothek;LC 0226;Wien;Linde Verlag;2000;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Borer Jürg;Massnahmen gleicher Wirkung wie mengenmässige Einfuhrbeschränkungen im Freihandelsabkommen Schweiz-EWG;0;194;Druckerzeugnis;37960.35486;Dissertation der HSG, Nr. 1035, 1988;Haupt-Bibliothek;AK 1199;Bern;Stämpfli & Cie AG;1988;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Schultz Siegfried;Makroökonomische Wirkungen der Sozialen Sicherung;0;153;Druckerzeugnis;38360;Einfluss des Sozialleistungssystems auf Preise, Konjunktur und Wachstum;Haupt-Bibliothek;AF 111;Berlin;Duncker & Humblot;1969;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Hamilton City Council;Report to the Public on Performance 1991-1992;1171-316X;83;Druckerzeugnis;38360;0;Haupt-Bibliothek;VE 198;Hamilton NZ;Hamilton City Council;1992;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Schindler Ambros;Rechnungslegung von Stiftungen;-;S. 419 - 436;Druckerzeugnis;37960.35486;In: Dann, Wilfried, Ehrlicher, Werner & etc., (Hrsg.): Unternehmenspolitik und Internationale Besteuerung;Haupt-Bibliothek;-;-;-;-;0;LD;0;0;Interkantonales/Internationales Steuerrecht;Deutschland;0
Hochman Harold M.;Public Choice Aspects of Intra-Family Transfers;0;191-202;Druckerzeugnis;37960.35486;In: Roskamp Karl W. (Hrsg.): Public Choice and Public Finance;Haupt-Bibliothek;-;Paris;Editions Cujas;-;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Steiger Alois;Sozialprodukt oder Wohlfahrt? Kritik am Sozialproduktkonzept - Die Erfassung der Sozialen Kosten der Umweltzerstörung und sonstiger wohlfahrtsfragwürdiger Komponenten;0;440;Druckerzeugnis;37960.35486;Dissertation der HSG, Nr. 721, 1979;Haupt-Bibliothek;AK 1019;Diessenhofen;Verlag Rüegger;1979;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Bundesministerium für Finanzen;Staatliche Finanzplanung im internationalen Vergleich;0;85;Druckerzeugnis;37936;0;Haupt-Bibliothek;VC 158;Wien;Österreichische Staatsdruckerei;1975;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Dahl R. A./Tufte E. R.;Size and Democracy;0.8047.0834.7;142;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;WD 135;Stanford California;Stanford University Press;1973;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Hirsch Werner Z./Sonenblum Sidney/Teeples Roland K.;Local Government Program Budgeting:  Theory and Practice;0-275-28859-5;216;Druckerzeugnis;37960.35486;With Special Reference to Los Angeles;Haupt-Bibliothek;VB 152;London;Praeger Publishers;1974;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Crane Edgar G./Lentz Bernard F./Shafritz Jay M.;State Government Productivity;0-275-56850-4;259;Druckerzeugnis;38322;The Environment for Improvement;Haupt-Bibliothek;EG 118;London;Praeger Publishers;1976;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Krause Lawrence B.;Recent International Monetary Crises: Causes and Cures and Fixed-Flexible and Gliding Exchange Rates;0;18;Druckerzeugnis;38236;0;Separata;AK Sep. 330;Washington;The Brookings Institution;1971;0;YM;0;0;Wirtschaftswissenschaften;Internationaler Handel. Zahlungsbilanz und Wechselkurse;0
Jones Leroy P.;Selling Public Enterprises;0-262-10041-X;221;Druckerzeugnis;38360;A Cost-Benefit Methodology;Haupt-Bibliothek;EF 185;London;MIT Press;1990;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Wollschläger Hermann M.;Steuerrechtliche Informationsangebote im Internet;3-482-51241-8;217;Druckerzeugnis;38099;0;Haupt-Bibliothek;WD 243;Herne / Berlin;Verlag Neue Wirtschafts-Briefe;2000;0;WD;0;0;Uebrige Literatur;Diverse Gebiete, Umweltschutz;0
Deutsche Gesellschaft für Betriebswirtschaft;Perspektiven für die Steuerharmonisierung im Gemeinsamen Markt;0;202;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;KA 114;Berlin;Deutsche Gesellschaft für Betriebswirtschaft;1971;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Petzina Dietmar;Probleme der Finanzgeschichte des 19. und 20. Jahrhunderts;3.428.06698.7;150;Druckerzeugnis;38360;0;Haupt-Bibliothek;AC 288;Berlin;Duncker & Humblot;1989;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Ruppe Hans Georg;Österreich und das EG-Steuerrecht;3 85436 067 3;79;Druckerzeugnis;37960;0;Haupt-Bibliothek;KA 132;Wien;Signum-Verlag;1988;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
Fair D. E.;Shifting Frontiers in Financial Markets;90.247.3225.5 90.247.2605.0;360;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;AK 0279;Dordrecht;Martinus Nijhoff Publishers;1986;0;YK;0;0;Wirtschaftswissenschaften;Geld, Kredit- und Bankwesen. Bankbetriebslehre;0
Slama Jiri;Sektorale Strukturpolitik in der sowjetischen Industrie unter dem Aspekt der technologischen Entwicklung;3.428.03167.9;57-77;Druckerzeugnis;37960.35486;In: Watrin-Christian (Hrsg.): Struktur- und stabilitätspolitische Probleme in alternativen Wirtschaftssystemen;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YN;0;0;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;0
Hottelier Michel/Foëx Bénédict;Les gages immobiliers;3-7190-1793-1;243;Druckerzeugnis;37960;Constitution volontaire et réalisation forcée;Haupt-Bibliothek;WC 105;Basel (Genf / München);Helbing & Lichtenhahn;1999;0;WC;0;0;Uebrige Literatur;Privatrecht;0
Hackmann Johannes;Die Bestimmung des steuerrechtlichen Einkommensbegriffs aus finanzwissenschaftlicher Sicht;3.428.05420.2;661-702;Druckerzeugnis;37960.35486;In: Hansmeyer Karl-Heinrich (Hrsg.): Staatsfinanzierung im Wandel;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YL7;YL8;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder"
Wimmer Helmut;Die Anpassung der externen Rechenschaftslegung von Aktiengesellschaften an die Körperschaftsteuerreform;0;167;Druckerzeugnis;38090.72292;Beiträge zum Rechnungs-, Finanz- und Revisionswesen, Bd. 6;Haupt-Bibliothek;PE 0394;Frankfurt;Peter Lang;1982;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Bernasconi Marco/Pedroli Andrea;Lezioni Di Diritto Fiscale Svizzero;88-85372-09-0;658;Druckerzeugnis;37960.35486;Corso della Scuola superiore dei quadri dell'economia e dell'amministrazione (SSQEA);Haupt-Bibliothek;JA 165;Bellinzona;Dipartimento delle istituzioni;1999;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
Henkel Mary;Performance Review and the Managerial Revolution;1.85302.017.6;43709;Druckerzeugnis;37960.35486;In: Connor-Anne- Black-Stewart (Hrsg.): Performance Review and Quality in Social Care;Haupt-Bibliothek;-;London u. a.;Jessica Kingsley Publishers;-;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Löbbe Klaus;Methoden der mittelfristigen Steuervorausschätzung;3 428 02424 9;198;Druckerzeugnis;37960.35486;Rheinisch-Westfälisches Institut für Wirtschaftsforschung Essen;Haupt-Bibliothek;VC 121;Berlin;Duncker & Humblot;1971;0;YL2;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle
Zumbühl Marcel;Privatisierung staatlicher Wirtschaftstätigkeit - Notwendigkeit und Möglichkeiten?;3.7255.1907.2;189;Druckerzeugnis;37960.35486;Basler Dissertation;Haupt-Bibliothek;AK 1010;Zürich;Schulthess Polygraphischer Verlag;1978;0;YC;0;0;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;0
Merten Hans-Lothar;Steueroasen;3-89623-181-2;432;Druckerzeugnis;37960.35486;Handbuch für flexible Steuerzahler - Ausgabe 2000;Haupt-Bibliothek;JA 146 1;Düsseldorf;Metropolitan Verlag;2000;0;JA;0;0;Allgemeine Steuerrechtsliteratur;Allgemeines, Lehrbücher;0
OECD;Public Management Developments - Update 1992;92-64-13729-7;109;Druckerzeugnis;37960.35486;0;Haupt-Bibliothek;EH 120 1;Paris;OECD;1992;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Wysocki Josef;Politische und ökonomische Probleme des Finanzausgleichs in der Ersten Österreichischen Republik;3.428.06698.7;125-136;Druckerzeugnis;37960.35486;In: Petzina-Dietmar (Hrsg.): Probleme der Finanzgeschichte des 19. und 20. Jahrhunderts;Haupt-Bibliothek;-;Berlin;Duncker & Humblot;-;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Soos Piroska E.;Selected Bibliography on Income Tax Administration in Developed and Developing Countries;09 70125 43 9;150;Druckerzeugnis;37960;0;Haupt-Bibliothek;KA 337;Amsterdam;IBFD;1989;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
